,n_estimators,max_depth,weighted,fold_set,brier_loss,loss,acc,roc-auc,recall
exp75,60,6,True,1,0.07071,0.26484,0.91611,0.81158,0.07308
exp76,60,6,False,1,0.07071,0.26484,0.91611,0.81158,0.07308
exp77,60,5,True,1,0.07001,0.25559,0.91561,0.81578,0.06654
exp78,60,5,False,1,0.07001,0.25559,0.91561,0.81578,0.06654
exp79,60,4,True,1,0.06909,0.24591,0.91527,0.82101,0.06969
exp80,60,4,False,1,0.06909,0.24591,0.91527,0.82101,0.06969
exp81,40,10,True,1,0.06950,0.26410,0.91937,0.78631,0.11900
exp82,40,10,False,1,0.06950,0.26410,0.91937,0.78631,0.11900
exp83,40,8,True,1,0.06821,0.25086,0.91893,0.79991,0.11800
exp84,40,8,False,1,0.06821,0.25086,0.91893,0.79991,0.11800
exp85,40,6,True,1,0.06897,0.24882,0.91704,0.80013,0.09808
exp86,40,6,False,1,0.06897,0.24882,0.91704,0.80013,0.09808
exp87,40,5,True,1,0.06792,0.24214,0.91619,0.81182,0.08785
exp88,40,5,False,1,0.06792,0.24214,0.91619,0.81182,0.08785
exp89,40,4,True,1,0.06731,0.23846,0.91633,0.82011,0.08323
exp90,40,4,False,1,0.06731,0.23846,0.91633,0.82011,0.08323
exp91,20,10,True,1,0.06687,0.24885,0.91872,0.81120,0.18846
