,epochs,units,activation,loss,acc,roc-auc
exp9,20,512,tanh,2.1836164949212584,0.54815,0.48439019474354683
exp10,20,512,tanh,1.8402089484477433,0.59461,0.462407332922127
exp11,20,512,tanh,1.5659845083103043,0.62718,0.6549080562500749
exp12,20,512,tanh,0.8681910189428377,0.78948,0.737186594117647
